cve_id,status,repo_url,issues,commits_sha,commits_sha_begin,std_version,edition,备注
CVE-2021-28028,未开始,https://github.com/antonmarsden/toodee,https://github.com/antonmarsden/toodee/issues/13,ced70c172486fb4827c172cd8238053df3d1dcdb,,,,
CVE-2021-28030,未开始,https://github.com/bodoni/truetype,https://github.com/bodoni/truetype/issues/11,,,,,
CVE-2021-28031,未开始,https://github.com/okready/scratchpad,https://github.com/okready/scratchpad/issues/1,891561bea,,,,
CVE-2021-28032,未开始,https://github.com/bennetthardwick/nano-arena,https://github.com/bennetthardwick/nano-arena/issues/1,6b83f9d0708337a9f8b709c1624a8587021ceba2,,,,
CVE-2021-28034,未开始,https://github.com/thepowersgang/stack_dst-rs,https://github.com/thepowersgang/stack_dst-rs/issues/5,2a4d538,,,,
CVE-2021-28035,未开始,https://github.com/thepowersgang/stack_dst-rs,https://github.com/thepowersgang/stack_dst-rs/issues/5,2a4d538,,,,
CVE-2021-28036,未开始,https://github.com/quinn-rs/quinn,https://github.com/quinn-rs/quinn/issues/968,,,,,
CVE-2021-28033,未开始,https://github.com/wwylele/byte-struct-rs,https://github.com/wwylele/byte-struct-rs/issues/1,a535678377de12bc6bc22620c5f59bcc1369f76f,,,,
CVE-2021-28029,未开始,https://github.com/antonmarsden/toodee,https://github.com/antonmarsden/toodee/issues/13,,,,,
CVE-2021-31919,未开始,https://github.com/djkoloski/rkyv,https://github.com/djkoloski/rkyv/issues/113,9c65ae9c2c67dd949b5c3aba9b8eba6da802ab7e,,,,
CVE-2021-31162,未开始,https://github.com/rust-lang/rust,https://github.com/rust-lang/rust/issues/83618,,,,,
CVE-2015-20001,未开始,https://github.com/rust-lang/rust,https://github.com/rust-lang/rust/issues/25842,,,,,
CVE-2020-36317,未开始,https://github.com/rust-lang/rust,https://github.com/rust-lang/rust/issues/78498,,,,,
CVE-2020-36318,未开始,https://github.com/rust-lang/rust,https://github.com/rust-lang/rust/issues/79808,,,,,
CVE-2021-28879,未开始,https://github.com/rust-lang/rust,https://github.com/rust-lang/rust/issues/82282,,,,,
CVE-2021-28878,rust-lang,https://github.com/rust-lang/rust,https://github.com/rust-lang/rust/issues/82291,"
c1bfb9a",2371914,2021-3-6,,
CVE-2021-28876,rust-lang,https://github.com/rust-lang/rust,https://github.com/rust-lang/rust/issues/81740,86a4b27475aab52b998c15f5758540697cc9cff0,,2022-2-13,,
CVE-2021-30454,完成,https://github.com/SolraBizna/outer_cgi,https://github.com/SolraBizna/outer_cgi/issues/1,dd59b3066e616a08e756f72de8dc3ab11b7036c4,9a7de8af5b54fccfea8f33001c32cecada06a79a,,,issue 中有PoC (Rudra)
